"","PersonID","session","rt"
"521",551,5,2928.22222222222
"522",551,6,2806.46666666667
"523",552,1,1637.20689655172
"524",552,2,1373.13333333333
"525",552,3,1278.23333333333
"526",552,4,1175.36666666667
"527",552,5,1214.56666666667
"528",552,6,1264.46666666667
"529",553,1,2511.63333333333
"530",553,2,1963.33333333333
"531",553,3,2006.1724137931
"532",553,4,1820.43333333333
"533",553,5,1922.43333333333
"534",553,6,2066.53333333333
"535",554,1,1453.20689655172
"536",554,2,1437.53333333333
"537",554,3,1300.03333333333
"538",554,4,1396.36666666667
"539",554,5,1388
"540",554,6,1410.6
"541",555,1,2191.07692307692
"542",555,2,1755.71428571429
"543",555,3,1361.67857142857
"544",555,4,1459.60714285714
"545",555,5,1391.10714285714
"546",555,6,1363.43333333333
"547",556,1,2325.20689655172
"548",556,2,2119.93103448276
"549",556,3,1817.03448275862
"550",556,4,2018.53571428571
"551",556,5,2021.68965517241
"552",556,6,1947.51111111111
"553",557,1,2327.66666666667
"554",557,2,1784.52631578947
"555",557,3,1610.875
"556",557,4,1588.05
"557",557,5,1312.46153846154
"558",557,6,1109.59259259259
"559",558,1,1725.33333333333
"560",558,2,1919.6
"561",558,3,1684.73913043478
"562",558,4,1789.82608695652
"563",558,5,1945.0652173913
"564",558,6,1842.97826086957
"565",559,1,1092.79069767442
"566",559,2,1131.47826086957
"567",559,3,1010.04347826087
"568",559,4,1080.57777777778
"569",559,5,1031.9347826087
"570",559,6,979.95652173913
"571",560,1,1554.91111111111
"572",560,2,1274.54347826087
"573",560,3,1249.91304347826
"574",560,4,1280.86956521739
"575",560,5,1480.23913043478
"576",560,6,1394.52173913043
"577",561,1,1941.73170731707
"578",561,2,1905.40476190476
"579",561,3,1904.53333333333
"580",561,4,1869.68888888889
"581",561,5,1485.4
"582",561,6,1751.02173913043
"583",562,1,1392.63043478261
"584",562,2,1752.65909090909
"585",562,3,1542.86956521739
"586",562,4,1389.04444444444
"587",562,5,1467.77777777778
"588",562,6,1315.77272727273
"589",563,1,1559.14285714286
"590",563,2,1590.34782608696
"591",563,3,1690.32558139535
"592",563,4,1617.08888888889
"593",563,5,1820.86956521739
"594",563,6,1469.46666666667
"595",564,1,1960.33333333333
"596",564,2,1746.44
"597",564,3,1434.92592592593
"598",564,4,1456.14285714286
"599",564,5,1325.10714285714
"600",564,6,1387
"601",565,1,1779.08695652174
"602",565,2,1459.71428571429
"603",565,3,1505.125
"604",565,4,1433.38461538462
"605",565,5,1709.92592592593
"606",565,6,1627.10714285714
